request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
534,BasicRequest,1,47700,47700,2944;-1;-1,2848;-1;-1,,,,,395.953795094004,6373.629999999999,0:,,,,,,,,0
880,BasicRequest,1,47700,47700,2944;-1;-1,10053;-1;-1,,,,,643.3474805987481,10788.777999999998,0:,,,,,,,,0
962,BasicRequest,1,47700,47700,2944;-1;-1,2998;-1;-1,,,,,461.0840400046919,7108.271999999999,0:,,,,,,,,0
968,BasicRequest,1,47700,47700,2944;-1;-1,2998;-1;-1,,,,,461.0840400046919,7108.271999999999,0:,,,,,,,,0
1000,BasicRequest,1,47700,47700,2944;-1;-1,5937;-1;-1,,,,,496.60205062291067,7781.148999999999,0:,,,,,,,,0
1004,BasicRequest,1,47700,47700,2944;-1;-1,5937;-1;-1,,,,,496.60205062291067,7781.148999999999,0:,,,,,,,,0
1102,BasicRequest,1,47700,47700,2944;-1;-1,10750;-1;-1,,,,,378.788334244266,6381.464,0:,,,,,,,,0
1190,BasicRequest,1,47700,47700,2944;-1;-1,10838;-1;-1,,,,,583.0667724543289,8374.699,0:,,,,,,,,0
1218,BasicRequest,1,47700,47700,2944;-1;-1,10017;-1;-1,,,,,481.0658522088148,7239.654,0:,,,,,,,,0
1433,BasicRequest,1,47700,47700,10129;-1;-1,2944;-1;-1,,,,,746.8954470284295,11654.356999999998,0:,,,,,,,,0
1436,BasicRequest,1,47700,47700,2944;-1;-1,10129;-1;-1,,,,,797.5377166831001,12643.657,0:,,,,,,,,0
1616,BasicRequest,1,47700,47700,2944;-1;-1,2950;-1;-1,,,,,427.4991358974962,6532.039,0:,,,,,,,,0
1714,BasicRequest,1,47700,47700,2944;-1;-1,6422;-1;-1,,,,,491.1607616753548,7131.368,0:,,,,,,,,0
1722,BasicRequest,1,47700,47700,2944;-1;-1,6422;-1;-1,,,,,491.1607616753548,7131.368,0:,,,,,,,,0
1912,BasicRequest,1,47700,47700,2944;-1;-1,7460;-1;-1,,,,,2665.8125791853604,56487.31300000001,0:,,,,,,,,0
1922,BasicRequest,1,47700,47700,2944;-1;-1,3308;-1;-1,,,,,3874.393881778927,88898.65799999998,0:,,,,,,,,0
1998,BasicRequest,1,47700,47700,2944;-1;-1,10231;-1;-1,,,,,2783.647793040735,50166.23000000001,0:,,,,,,,,0
2084,BasicRequest,1,47700,47700,2944;-1;-1,4189;-1;-1,,,,,893.2342861950785,17222.911999999997,0:,,,,,,,,0
2112,BasicRequest,1,47700,47700,2944;-1;-1,7003;-1;-1,,,,,1222.3759755341512,22201.693,0:,,,,,,,,0
2150,BasicRequest,1,47700,47700,2944;-1;-1,6603;-1;-1,,,,,1360.6318797696154,26444.754,0:,,,,,,,,0
2224,BasicRequest,1,47700,47700,2944;-1;-1,4078;-1;-1,,,,,977.9008660558574,18531.831,0:,,,,,,,,0
2346,BasicRequest,1,47700,47700,2944;-1;-1,7898;-1;-1,,,,,3711.5632927705205,82170.172,0:,,,,,,,,0
2500,BasicRequest,1,47700,47700,2944;-1;-1,12032;-1;-1,,,,,11148.305069218264,256047.86300000004,0:,,,,,,,,0
2618,BasicRequest,1,47700,47700,2944;-1;-1,4635;-1;-1,,,,,3607.9256615069876,76132.125,0:,,,,,,,,0
2727,BasicRequest,1,47700,47700,12147;-1;-1,2944;-1;-1,,,,,4511.705848000091,97738.36100000002,0:,,,,,,,,0
2900,BasicRequest,1,47700,47700,2944;-1;-1,4814;-1;-1,,,,,1000.1363138328762,21805.948,0:,,,,,,,,0
2932,BasicRequest,1,47700,47700,2944;-1;-1,6535;-1;-1,,,,,1493.2499966536398,33420.884,0:,,,,,,,,0
3016,BasicRequest,1,47700,47700,2944;-1;-1,5087;-1;-1,,,,,1187.84989609602,22170.170000000006,0:,,,,,,,,0
3044,BasicRequest,1,47700,47700,2944;-1;-1,5130;-1;-1,,,,,968.2262958758031,17050.386000000006,0:,,,,,,,,0
3118,BasicRequest,1,47700,47700,2944;-1;-1,5084;-1;-1,,,,,1227.0947915018608,27487.680999999997,0:,,,,,,,,0
